Rk,Name,S,C,F,Yrs,From,To,ASG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,Name-additional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
60,Frank Castillo,-,-,-,1,1997,1997,0,6,3,.667,5.42,14,14,0,0,0,0,86.1,107,57,52,16,25,3,59,4,0,2,384,96,castifr01
61,Harold Castro,-,-,F,1,2023,2023,0,0,0,,9.00,2,0,2,0,0,0,2.0,4,2,2,0,1,0,0,1,0,0,11,64,castrha01
62,Miguel Castro,-,-,-,2,2015,2016,0,0,1,.000,7.20,24,0,7,0,0,0,20.0,24,16,16,5,9,0,18,1,0,0,93,69,castrmi01
63,Simón Castro,-,-,-,1,2015,2015,0,2,0,1.000,6.10,11,0,2,0,0,0,10.1,11,7,7,0,5,0,9,1,0,0,47,78,castrsi01
64,Jhoulys Chacín,S,-,F,8,2009,2022,0,45,52,.464,4.05,205,110,15,2,1,0,783.2,727,388,353,75,329,10,598,21,1,29,3348,113,chacijh01
65,Shawn Chacón,S,-,-,5,2001,2005,1,24,45,.348,5.20,150,83,60,0,0,35,552.1,543,338,319,82,293,28,385,42,1,26,2482,96,chacosh01
66,Tyler Chatwood,-,-,-,5,2012,2017,0,34,35,.493,4.18,103,88,6,2,1,2,505.2,496,254,235,53,229,11,364,15,2,35,2171,114,chatwty01
67,Angel Chivilli,S,C,F,1,2024,2024,0,1,2,.333,3.42,25,0,10,0,0,1,26.1,25,11,10,6,5,0,23,1,0,0,107,136,chivian01
68,Bobby Chouinard,-,-,F,2,2000,2001,0,2,2,.500,4.69,39,0,11,0,0,0,40.1,45,24,21,8,10,3,28,1,0,0,174,123,chouibo01
69,Tim Christman,S,C,F,1,2001,2001,0,0,0,,4.50,1,0,1,0,0,0,2.0,1,1,1,1,0,0,2,0,0,0,7,135,christi01
70,Darren Clarke,S,C,F,1,2007,2007,0,0,0,,0.00,2,0,0,0,0,0,1.1,2,0,0,0,1,0,1,0,0,0,7,,clarkda06
